location,location_score,area_sqft,bedrooms,bathrooms,age_years,distance_to_city_km,price_lakhs
Bilaspur,8.1,875,5,4,28,24.3,104.3
Dharamshala,8.4,3496,2,2,3,10.3,268.58
Dharamshala,3.8,739,4,4,31,19.8,46.63
Dharamshala,9.4,1171,3,2,14,18.7,119.54
Chamba,4.6,1106,3,3,21,24.7,75.96
Bilaspur,3.3,615,2,1,21,19.5,8.0
Dharamshala,6.9,909,5,5,39,7.4,124.73
Dharamshala,5.6,2504,1,1,13,0.9,182.5
Palampur,8.8,2814,5,5,15,24.2,221.51
Palampur,8.7,791,2,1,30,18.0,116.04
Kullu,5.2,3798,5,4,25,20.4,223.7
Shimla,9.7,835,1,1,12,19.9,104.58
Mandi,5.0,2904,1,1,13,18.5,153.06
Kullu,6.6,3301,1,1,33,18.9,162.49
Solan,4.8,2322,3,3,33,23.3,108.73
Shimla,9.6,2220,2,1,5,22.9,179.86
Palampur,4.2,881,3,2,15,9.8,77.8
Chamba,3.3,1345,5,5,30,1.3,126.69
Dharamshala,6.0,3477,1,1,4,1.4,226.78
Solan,9.9,1720,3,3,7,11.4,175.53
Dharamshala,9.2,620,4,3,6,21.0,141.08
Solan,8.2,3052,3,2,21,21.3,188.86
Chamba,9.2,2892,5,5,18,10.4,258.52
Solan,9.3,732,4,3,12,7.9,148.04
Shimla,6.6,678,1,1,5,12.9,77.78
Bilaspur,5.2,907,3,3,25,20.9,51.18
Kullu,8.4,678,2,1,32,16.1,90.46
Kullu,7.6,2656,1,1,8,3.9,219.23
Dharamshala,5.6,964,5,5,26,9.4,120.67
Dharamshala,3.7,2624,2,2,31,14.1,113.51
Solan,8.2,1116,1,1,22,13.7,84.59
Shimla,4.8,3903,2,2,22,20.9,194.51
Bilaspur,9.6,3040,5,5,6,23.3,243.69
Bilaspur,4.7,1810,3,3,38,3.0,111.74
Kullu,3.9,2000,5,4,38,6.0,137.55
Bilaspur,8.8,727,3,3,28,10.1,116.28
Chamba,4.1,692,1,1,36,7.8,16.58
Mandi,4.3,2381,2,2,24,10.5,115.63
Kullu,7.2,579,1,1,26,1.5,96.44
Chamba,9.1,2734,3,2,33,2.1,215.23
Solan,4.4,1838,2,2,1,21.0,116.23
Bilaspur,5.2,988,5,4,8,3.0,148.92
Mandi,8.4,2374,2,1,8,20.7,183.79
Shimla,9.8,2435,2,2,25,8.0,195.29
Mandi,6.5,3112,5,4,9,8.1,248.3
Shimla,4.0,1192,3,3,15,3.0,121.9
Shimla,3.1,2415,1,1,19,0.8,127.62
Dharamshala,4.6,3456,3,3,29,9.2,207.19
Bilaspur,3.9,1444,2,2,20,21.0,45.48
Mandi,7.7,3423,4,3,0,23.0,227.54
Solan,3.9,3031,3,3,27,2.0,164.45
Chamba,6.5,2003,4,3,17,1.3,181.61
Shimla,7.9,3591,5,4,4,4.4,296.02
Dharamshala,7.1,3883,4,3,26,19.3,240.92
Shimla,4.4,1328,2,2,10,5.5,111.05
Solan,8.6,3929,2,1,18,6.2,258.8
Shimla,8.0,508,3,3,38,22.3,43.18
Shimla,8.2,952,3,3,9,21.9,102.4
Bilaspur,3.9,651,2,2,35,16.9,26.45
Kullu,3.9,1786,5,5,18,4.5,167.6
Kullu,9.5,3779,5,5,37,9.8,275.78
Palampur,5.8,2601,2,2,33,6.3,174.39
Palampur,5.1,2658,4,3,33,17.0,138.01
Shimla,6.4,796,5,5,8,19.6,114.05
Bilaspur,7.6,2306,1,1,31,4.0,160.0
Palampur,9.7,1839,2,2,14,22.5,174.36
Chamba,5.0,2177,4,3,36,11.8,136.83
Chamba,9.5,1414,3,2,39,20.0,99.15
Shimla,3.2,1205,4,4,24,1.8,121.5
Palampur,6.9,3832,3,3,36,9.3,252.4
Solan,7.4,2454,1,1,21,0.9,183.06
Palampur,3.7,1940,3,2,1,18.1,110.21
Chamba,4.0,758,3,2,34,2.4,81.56
Chamba,5.9,3169,5,5,21,8.8,253.64
Kullu,9.8,2154,1,1,1,19.7,190.3
Palampur,7.2,1853,1,1,2,18.8,116.87
Bilaspur,9.5,2834,1,1,28,16.2,194.53
Kullu,8.6,961,3,2,36,17.5,103.45
Chamba,6.3,2366,5,4,27,16.5,158.96
Mandi,8.5,3521,4,4,17,16.2,267.95
Solan,3.1,2123,5,4,12,9.1,159.87
Chamba,3.8,501,5,5,16,1.2,123.56
Palampur,8.8,1304,4,3,12,11.3,156.35
Solan,8.6,695,4,4,10,1.6,172.58
Solan,4.6,2250,2,1,5,12.0,132.61
Palampur,6.7,1775,5,4,22,11.9,167.68
Dharamshala,7.2,963,4,4,8,4.9,175.39
Solan,9.1,2904,5,5,5,19.7,231.95
Bilaspur,7.2,1118,5,4,11,17.8,123.24
Bilaspur,5.9,1695,2,1,31,14.2,111.78
Solan,5.6,3956,1,1,22,23.2,179.49
Chamba,6.0,732,5,4,19,7.5,136.85
Palampur,7.6,1366,3,3,23,6.9,137.81
Shimla,9.1,1612,5,4,22,5.0,202.65
Kullu,6.2,2280,4,3,19,13.8,176.62
Solan,4.7,1357,2,2,33,5.5,95.04
Palampur,4.7,3895,2,2,29,21.8,152.17
Solan,8.2,518,4,3,7,8.0,173.48
Kullu,8.7,3818,2,1,32,12.5,234.81
Solan,3.7,2371,2,2,7,13.5,120.26
Solan,3.5,633,2,1,3,8.0,72.56
Solan,7.2,908,4,3,16,18.6,116.03
Bilaspur,4.0,860,1,1,15,17.5,53.88
Bilaspur,8.8,1506,1,1,31,19.1,118.47
Chamba,5.2,1665,1,1,27,15.3,81.87
Palampur,4.0,2744,4,4,2,11.8,169.48
Shimla,9.4,1589,1,1,19,11.5,154.49
Bilaspur,4.2,3037,3,3,31,18.1,127.63
Dharamshala,5.0,1528,1,1,29,9.7,101.13
Palampur,4.1,1422,3,2,20,11.2,88.64
Solan,3.8,1463,1,1,24,4.5,94.3
Chamba,3.1,1652,1,1,22,17.2,51.91
Bilaspur,3.4,3432,3,3,9,2.4,209.92
Mandi,4.2,1364,4,3,22,24.8,64.93
Solan,3.4,1456,1,1,27,4.0,88.01
Palampur,7.1,3849,3,3,2,9.9,261.98
Solan,7.8,2788,5,5,27,6.3,244.09
Chamba,5.8,1166,4,3,9,7.6,131.55
Chamba,5.2,3538,4,4,0,8.4,247.51
Shimla,6.5,1141,2,1,30,18.1,75.14
Bilaspur,9.1,1067,5,4,15,4.8,187.52
Bilaspur,9.0,2057,1,1,16,7.0,167.77
Bilaspur,3.3,2919,4,4,24,3.0,194.1
Chamba,4.3,1162,3,3,22,8.6,92.65
Dharamshala,4.7,3136,1,1,24,23.6,135.37
Bilaspur,4.7,1048,5,4,37,9.8,96.13
Kullu,7.0,3236,4,3,26,19.5,207.21
Chamba,5.9,835,2,1,1,11.8,95.2
Mandi,3.3,2125,1,1,8,11.5,102.5
Solan,5.6,2740,4,4,17,20.7,177.31
Dharamshala,6.7,1429,3,2,18,1.2,148.22
Mandi,3.7,2642,1,1,14,21.7,127.49
Shimla,8.8,2910,5,4,7,12.4,257.14
Kullu,3.4,2775,4,4,4,9.1,171.86
Dharamshala,9.5,1889,3,3,5,22.7,170.27
Shimla,3.7,3206,2,2,38,8.8,138.64
Solan,8.9,3060,2,1,15,24.5,204.53
Dharamshala,9.3,1642,3,2,38,23.4,131.15
Shimla,9.9,3066,1,1,13,7.1,237.41
Solan,8.6,3714,2,2,12,8.8,264.37
Solan,8.5,3358,2,2,19,20.4,208.24
Kullu,7.5,3066,1,1,37,5.3,197.4
Mandi,8.5,3182,1,1,22,18.4,196.91
Shimla,3.9,3316,2,2,1,3.7,218.81
Palampur,6.8,1511,2,2,10,5.5,147.64
Palampur,6.6,3023,2,1,39,12.8,155.32
Kullu,9.0,1197,4,4,6,18.8,168.01
Bilaspur,6.2,1754,3,2,33,18.6,124.87
Shimla,5.7,3770,1,1,37,15.4,187.2
Chamba,7.5,1490,5,4,8,7.2,206.67
Dharamshala,4.9,3452,4,3,22,10.7,211.27
Shimla,4.0,1978,3,2,23,6.5,117.12
Dharamshala,6.3,1234,1,1,31,7.3,81.67
Solan,5.9,839,5,5,31,8.4,131.69
Shimla,4.6,2418,4,4,2,15.2,152.51
Kullu,5.6,2079,3,2,12,5.6,184.73
Chamba,5.6,2289,1,1,37,1.5,128.6
Solan,5.3,650,1,1,14,17.5,72.28
Bilaspur,5.7,1438,2,1,9,1.0,140.06
Dharamshala,7.8,513,2,2,25,24.3,65.97
Solan,5.1,1558,2,2,7,9.1,155.3
Chamba,9.6,3760,3,2,5,0.7,305.33
Bilaspur,9.4,1033,1,1,31,22.2,81.96
Shimla,6.4,2912,2,2,4,15.2,184.14
Palampur,5.3,520,5,5,35,20.5,49.33
Shimla,6.7,2466,5,4,9,11.2,207.75
Chamba,8.9,3723,1,1,4,9.2,254.12
Palampur,7.6,1693,4,4,29,16.6,130.3
Shimla,8.6,1190,5,4,7,10.4,178.6
Shimla,6.7,2496,3,2,14,14.1,182.29
Palampur,7.4,1476,2,2,14,7.3,136.28
Dharamshala,5.0,3620,3,3,20,8.6,215.17
Chamba,8.1,3471,2,2,18,2.5,268.72
Solan,4.4,2783,2,2,7,19.6,132.22
Bilaspur,7.9,2736,5,5,9,9.0,270.5
Bilaspur,9.0,2608,4,4,7,24.4,201.45
Chamba,3.9,3073,3,2,2,6.9,201.43
Kullu,7.3,2110,1,1,26,12.1,153.47
Mandi,3.7,3894,5,4,18,8.0,256.44
Solan,8.1,1709,1,1,4,17.5,147.09
Bilaspur,3.6,531,4,4,13,20.3,45.77
Dharamshala,9.6,2944,2,1,26,12.4,201.17
Mandi,4.0,2817,2,2,11,9.5,157.92
Mandi,9.7,3933,1,1,16,18.7,267.45
Solan,8.6,1883,2,1,29,5.2,159.48
Mandi,7.2,1986,4,3,26,15.2,160.09
Chamba,8.5,2467,3,3,28,18.5,163.14
Dharamshala,8.6,1872,1,1,15,7.1,152.73
Mandi,9.6,3247,2,2,19,16.6,226.55
Palampur,4.8,1998,1,1,33,18.5,76.76
Mandi,7.1,3242,3,3,34,3.4,218.85
Solan,3.7,1989,5,4,2,8.4,150.64
Mandi,7.3,1287,5,4,33,10.5,140.18
Solan,4.2,3967,5,5,35,19.5,224.16
Bilaspur,7.0,2342,1,1,37,14.4,117.33
Solan,7.0,2973,3,3,10,11.5,227.1
Palampur,6.3,2569,1,1,20,8.3,120.54
Kullu,6.7,1757,3,2,1,0.6,179.36
Shimla,8.3,3902,3,2,4,1.0,277.57
Bilaspur,8.6,1800,4,4,22,6.4,208.11
Mandi,6.4,3975,2,1,8,3.4,269.6
Kullu,7.2,2007,1,1,8,3.4,159.68
Chamba,9.5,579,3,3,11,15.3,132.24
Bilaspur,3.8,628,3,3,18,15.3,69.29
Chamba,3.8,3907,4,4,6,1.6,275.42
Dharamshala,3.6,2347,1,1,32,15.1,86.02
Chamba,7.6,1856,4,3,26,4.1,154.18
Shimla,5.9,3339,3,2,31,9.7,185.86
Chamba,8.4,2660,4,4,37,24.7,180.18
Chamba,7.7,2811,5,4,24,13.3,243.09
Mandi,5.3,2899,2,1,14,1.3,195.01
Palampur,9.3,1194,4,3,39,9.0,138.45
Kullu,8.3,808,1,1,22,16.9,113.68
Palampur,4.9,3048,5,5,18,6.0,227.23
Palampur,5.5,576,3,3,16,24.1,40.16
Bilaspur,5.2,3018,4,4,1,10.9,218.61
Dharamshala,4.1,954,4,4,38,1.0,108.03
Kullu,4.0,1418,4,4,32,13.7,92.26
Bilaspur,9.6,2977,2,2,27,17.1,213.67
Bilaspur,6.1,2680,4,4,8,11.7,186.83
Bilaspur,5.7,3235,3,3,37,23.2,138.7
Solan,8.1,2638,4,4,7,22.6,195.41
Shimla,6.9,667,4,4,9,3.9,138.56
Chamba,9.6,3439,3,2,2,2.5,298.01
Palampur,8.5,1255,1,1,11,8.2,147.16
Solan,6.4,976,2,2,13,15.4,124.59
Dharamshala,5.6,3574,5,4,31,15.2,206.11
Shimla,9.9,1181,3,3,13,7.2,173.32
Solan,8.0,2376,4,3,38,23.8,141.85
Bilaspur,9.7,2200,2,2,12,8.0,220.75
Mandi,3.8,3193,4,4,20,20.2,182.43
Mandi,9.0,654,3,3,23,20.9,94.69
Kullu,7.5,873,2,2,33,2.9,135.1
Kullu,3.9,1954,1,1,30,6.2,90.96
Mandi,7.1,2156,2,1,34,5.8,163.84
Bilaspur,7.8,3258,3,3,37,23.0,200.06
Shimla,3.1,2620,2,1,4,9.1,133.43
Chamba,6.2,1020,2,2,3,21.0,99.63
Chamba,8.8,3926,2,1,17,12.2,222.81
Palampur,5.1,2109,2,1,6,11.7,152.49
Chamba,6.2,3876,4,3,19,22.6,206.72
Solan,6.1,3964,3,2,23,11.3,239.1
Mandi,5.1,680,3,2,11,18.7,77.75
Bilaspur,9.4,2270,1,1,3,10.9,212.02
Solan,8.5,1977,3,3,38,3.0,188.95
Dharamshala,3.8,2244,5,4,14,1.8,183.71
Chamba,10.0,1584,4,4,33,5.6,185.53
Mandi,9.2,2455,3,2,24,18.2,183.72
Palampur,5.0,2222,2,2,26,9.7,119.69
Palampur,8.9,1151,2,1,31,11.6,115.27
Dharamshala,3.7,1509,1,1,10,3.0,102.92
Palampur,10.0,1015,1,1,8,15.8,123.08
Palampur,7.7,3452,4,4,39,20.2,185.49
Bilaspur,7.6,2870,5,4,26,15.8,196.09
Dharamshala,3.6,1856,5,5,11,24.6,80.24
Mandi,9.3,1885,4,4,25,0.9,211.16
Palampur,3.2,776,5,5,15,0.9,119.08
Chamba,4.7,1514,3,3,34,12.8,61.5
Dharamshala,4.0,3735,2,2,20,7.0,204.82
Solan,8.4,609,2,2,12,17.3,97.75
Chamba,4.4,1011,2,2,27,19.9,32.7
Solan,9.4,3461,4,4,30,3.0,271.47
Dharamshala,7.6,2321,1,1,14,23.0,151.95
Dharamshala,3.3,613,5,4,30,1.2,75.73
Shimla,3.0,2214,4,4,9,17.4,134.66
Bilaspur,3.4,3124,2,2,9,9.9,176.87
Kullu,7.2,1707,4,4,33,16.9,126.18
Shimla,8.6,1836,1,1,24,2.9,176.85
Solan,4.7,2709,3,2,1,23.5,160.0
Shimla,8.9,2595,1,1,27,23.5,148.8
Mandi,3.4,3660,1,1,12,13.2,202.3
Dharamshala,8.6,1366,1,1,10,13.0,147.92
Mandi,9.5,1466,4,4,16,16.1,153.11
Palampur,8.4,1043,4,4,18,14.7,137.46
Kullu,7.9,2827,5,4,35,13.8,237.37
Mandi,8.9,2366,5,5,17,14.9,208.51
Shimla,3.3,1714,5,5,11,21.5,115.98
Dharamshala,4.4,2934,5,5,30,15.5,190.95
Chamba,3.9,1818,1,1,21,5.3,113.15
Palampur,6.5,1184,4,3,0,22.9,132.17
Bilaspur,8.2,2389,4,3,25,5.8,217.92
Kullu,7.4,2027,1,1,20,4.5,159.97
Dharamshala,9.0,1918,1,1,22,24.9,115.33
Palampur,4.1,2056,5,4,7,5.7,182.13
Kullu,8.1,3699,5,5,19,3.0,291.02
Kullu,4.4,1255,2,1,25,14.3,63.11
Dharamshala,4.9,1465,1,1,27,20.8,76.97
Chamba,8.0,2477,2,1,27,2.0,188.59
Chamba,9.9,663,1,1,39,12.5,109.46
Chamba,7.3,1010,4,3,20,2.2,153.07
Shimla,3.4,2482,2,1,17,11.0,126.58
Kullu,7.3,2284,1,1,21,8.9,137.0
Palampur,3.3,2784,5,4,13,3.9,223.05
Dharamshala,9.2,897,5,5,12,23.3,143.9
Solan,8.0,3488,5,5,27,16.1,218.98
Shimla,4.2,2199,5,5,12,21.2,159.25
Kullu,3.6,1042,1,1,29,22.7,17.38
Mandi,4.3,1590,4,3,29,23.3,70.48
Chamba,9.9,1296,4,4,38,18.8,151.25
Palampur,6.2,2082,4,3,5,8.0,157.61
Bilaspur,8.5,2142,2,1,14,20.8,146.58
Kullu,7.5,2018,2,1,30,13.2,133.86
Mandi,7.0,2113,5,5,17,7.2,214.05
Palampur,4.0,3677,1,1,26,10.0,200.75
Palampur,9.6,3857,4,3,29,7.9,279.76
Mandi,5.1,2214,4,3,35,11.9,144.48
Dharamshala,7.0,3870,4,3,9,19.6,280.15
Dharamshala,7.9,3364,3,3,10,12.4,242.72
Shimla,7.5,3369,4,3,18,7.1,255.09
Kullu,9.6,1289,5,5,20,2.6,190.38
Dharamshala,4.0,2034,4,4,36,21.5,121.99
Shimla,6.6,1732,1,1,1,10.7,134.87
Shimla,5.8,837,2,1,9,11.3,94.6
Mandi,6.3,762,2,1,36,19.2,49.01
Kullu,3.8,2678,2,2,24,21.3,115.74
Dharamshala,3.9,1972,2,1,27,13.0,90.73
Solan,4.9,3390,2,1,9,16.0,187.55
Bilaspur,5.1,2840,4,4,24,6.4,216.97
Solan,6.0,798,1,1,14,23.4,78.06
Kullu,7.3,3433,4,3,29,14.4,218.96
Palampur,7.4,2236,4,4,3,18.1,187.1
Shimla,5.9,2480,5,4,11,3.3,209.0
Dharamshala,5.9,3879,1,1,25,16.1,225.06
Chamba,4.5,2740,2,1,24,9.5,150.6
Dharamshala,7.1,578,5,4,33,11.5,117.84
Palampur,5.2,1120,3,3,32,17.2,82.4
Bilaspur,3.3,1992,3,3,0,20.0,145.74
Shimla,5.9,630,1,1,3,9.1,83.95
Shimla,6.3,1086,4,3,14,21.9,89.42
Palampur,4.6,3270,2,1,38,5.9,189.29
Kullu,7.0,999,5,5,19,14.3,146.0
Mandi,7.0,1084,2,1,35,4.2,110.1
Solan,7.9,2266,1,1,2,7.6,207.51
Kullu,7.5,819,3,2,38,22.4,71.69
Solan,7.6,1394,3,3,2,0.8,204.73
Dharamshala,5.2,3781,3,2,32,22.9,179.63
Kullu,8.5,2710,5,4,35,8.5,232.72
Chamba,6.8,3872,2,1,11,17.5,229.81
Kullu,6.0,1739,2,2,12,2.7,150.94
Dharamshala,7.4,2656,4,3,23,16.2,187.3
Palampur,5.5,1334,1,1,28,22.8,50.08
Solan,6.6,1825,5,5,4,14.1,187.68
Dharamshala,8.2,1111,2,1,9,9.4,131.41
Dharamshala,9.2,3416,2,2,30,19.9,214.58
Dharamshala,9.4,1144,1,1,32,18.0,104.5
Kullu,6.5,1216,2,2,6,3.4,144.76
Bilaspur,6.6,2123,3,2,35,16.8,132.27
Dharamshala,8.6,2002,4,3,34,16.8,154.46
Solan,5.2,1598,5,4,34,18.9,106.06
Mandi,8.9,1749,4,4,9,8.2,184.7
Shimla,6.5,1532,2,2,26,10.3,117.21
Dharamshala,3.8,3694,5,5,6,24.0,198.2
Dharamshala,3.5,2531,1,1,7,14.5,128.04
Dharamshala,8.9,3719,2,1,2,13.0,253.48
Dharamshala,3.4,3953,2,1,19,24.7,136.37
Shimla,5.0,2778,3,2,28,6.1,199.21
Solan,5.3,3389,2,1,7,10.2,202.17
Chamba,4.2,887,5,5,7,19.1,116.05
Mandi,5.2,3822,2,1,11,18.0,194.57
Solan,8.2,2187,2,2,7,24.2,177.83
Bilaspur,3.1,2997,4,3,33,16.5,127.99
Palampur,8.8,1358,3,2,6,8.2,175.36
Shimla,9.0,834,3,2,11,10.2,128.86
Kullu,5.6,3597,5,5,12,2.7,300.86
Mandi,4.1,2073,3,2,8,23.1,109.56
Chamba,7.2,984,1,1,37,3.7,103.41
Shimla,3.8,2804,4,3,8,13.9,180.42
Kullu,5.6,690,4,4,19,10.3,101.35
Mandi,9.7,2076,2,2,22,3.8,207.09
Mandi,10.0,2965,5,5,10,7.7,301.03
Mandi,8.4,3021,2,2,18,16.0,212.16
Bilaspur,5.2,2086,1,1,6,1.3,160.63
